Pays;CodePays;Periode;TempsCode;EsperanceVie;PIBHabitant;DepensesSante;AccesElec;EcolePrimaire;EnseignSup;ID
Argentine;ARG;2001;YR2001;73,755;17610,75539;8,62096786;95,51106347;116,2501678;59,0115509;2
Argentine;ARG;2002;YR2002;73,932;15523,03878;7,64670229;96,04728699;116,7984314;62,74872971;2
Argentine;ARG;2003;YR2003;74,107;16714,67013;7,11225414;96,33463287;114,4946671;65,1762619;2
Argentine;ARG;2004;YR2004;74,28;18032,61143;7,22868299;96,61134338;115,8060532;65,48536682;2
Argentine;ARG;2005;YR2005;74,451;19426,44014;7,61078882;96,87638855;115,2991486;63,96667099;2
Argentine;ARG;2006;YR2006;74,62;20777,65271;7,64032841;97,13230133;117,2033005;66,96472931;2
Argentine;ARG;2007;YR2007;74,787;22424,11773;7,83455086;97,38516998;118,0511093;66,41162872;2
Argentine;ARG;2008;YR2008;74,952;23103,45652;8,1826973;97,64122009;118,5934601;68,05695343;2
Argentine;ARG;2009;YR2009;75,116;21519,89362;9,45599556;97,90668488;117,905983;70,20645905;2
Argentine;ARG;2010;YR2010;75,278;23521,27018;9,44546413;98,82;116,9757614;73,23139954;2
Argentine;ARG;2011;YR2011;75,439;24647,62927;9,41819859;99,0802002;115,6147308;76,29740143;2
Argentine;ARG;2012;YR2012;75,598;24118,86752;9,82726669;99,22885895;114,2271729;77,44628906;2
Argentine;ARG;2013;YR2013;75,756;24424,13645;9,78097916;99,35622406;112,0119476;78,22389984;2
Argentine;ARG;2014;YR2014;75,913;23550,09906;9,67129993;100;111,459671;80,99581146;2
Argentine;ARG;2015;YR2015;76,068;23933,88661;10,22933769;99,81168365;111,3034134;84,0019989;2
Argentine;ARG;2016;YR2016;76,221;23189,52745;9,00189686;99,95601654;110,7391815;87,21344757;2
Argentine;ARG;2017;YR2017;76,372;23597,11775;10,45704365;100;109,7414627;89,95851898;2
Argentine;ARG;2018;YR2018;76,52;22759,39856;9,62454033;100;109,6591721;91,6006012;2
Argentine;ARG;2019;YR2019;76,667;22063,90437;0;100;109,5162964;95,44790649;2
Belgique;BEL;2001;YR2001;77,97317073;43341,30371;9;100;104,076561;58,8563385;3
Belgique;BEL;2002;YR2002;78,07560976;43883,93016;8,3182106;100;103,1672287;59,38277817;3
Belgique;BEL;2003;YR2003;78,12926829;44154,20241;9,20770645;100;102,3609085;59,83446121;3
Belgique;BEL;2004;YR2004;78,87804878;45533,54831;9,36668777;100;100,800209;61,02286911;3
Belgique;BEL;2005;YR2005;78,9804878;46335,14621;9,26218891;100;100,4623413;61,08547974;3
Belgique;BEL;2006;YR2006;79,3804878;47205,40514;9,16210842;100;100,7341919;61,65359116;3
Belgique;BEL;2007;YR2007;79,78292683;48583,01858;9,16709423;100;101,5342178;61,20013046;3
Belgique;BEL;2008;YR2008;79,6804878;48416,15888;9,63237667;100;102,1575623;62,08623886;3
Belgique;BEL;2009;YR2009;80,03414634;47057,63984;10,35561562;100;102,1275635;65,26769257;3
Belgique;BEL;2010;YR2010;80,18292683;47965,27075;10,23373413;100;101,9242401;67,82901001;3
Belgique;BEL;2011;YR2011;80,58536585;48147,55536;10,39215851;100;101,9468002;69,8425293;3
Belgique;BEL;2012;YR2012;80,38536585;48203,60035;10,50683689;100;102,2560501;71,1920166;3
Belgique;BEL;2013;YR2013;80,58780488;48197,26236;10,56154251;100;103,8219681;72,11549377;3
Belgique;BEL;2014;YR2014;81,28780488;48741,2146;10,44007111;100;103,6480637;72,99739838;3
Belgique;BEL;2015;YR2015;80,99268293;49448,88506;10,42703342;100;103,1558075;74,55976105;3
Belgique;BEL;2016;YR2016;81,43902439;49822,35712;10,28172588;100;103,3177719;75,89064026;3
Belgique;BEL;2017;YR2017;81,49268293;50435,58344;10,40608311;100;103,905571;79,66172791;3
Belgique;BEL;2018;YR2018;81,59512195;51104,18272;10,31865311;100;103,3507004;78,90116882;3
Belgique;BEL;2019;YR2019;81,74634146;51735,86688;10,4;100;102,6195068;80,13816833;3
France;FRA;2001;YR2001;79,15853659;40226,62707;9,70562744;100;100,3822098;50,44728851;4
France;FRA;2002;YR2002;79,26097561;40388,62565;10,02218628;100;100,2492981;50,25168991;4
France;FRA;2003;YR2003;79,11463415;40433,49004;10,08283329;100;99,97544861;52,31697845;4
France;FRA;2004;YR2004;80,16341463;41272,63238;10,16429329;100;99,81118011;53,45763016;4
France;FRA;2005;YR2005;80,16341463;41643,98889;10,2148447;100;104,6364899;53,88233185;4
France;FRA;2006;YR2006;80,81219512;42367,56986;10,39308834;100;104,2788467;53,87541962;4
France;FRA;2007;YR2007;81,11219512;43127,21286;10,33102131;100;103,8597794;52,94754028;4
France;FRA;2008;YR2008;81,21463415;42996,20978;10,51212215;100;103,6221466;52,47552109;4
France;FRA;2009;YR2009;81,41463415;41546,49058;11,29670525;100;103,0411377;52,77310181;4
France;FRA;2010;YR2010;81,66341463;42147,67168;11,24011326;100;102,7615128;54,8817215;4
France;FRA;2011;YR2011;82,11463415;42864,01897;11,20183182;100;102,6911011;55,62572861;4
France;FRA;2012;YR2012;81,96829268;42790,63288;11,31324291;100;102,5231628;57,90901184;4
France;FRA;2013;YR2013;82,2195122;42816,27148;11,43607998;100;102,2764435;59,8487587;4
France;FRA;2014;YR2014;82,7195122;43021,39464;11,58073521;100;101,2803497;61,51047897;4
France;FRA;2015;YR2015;82,32195122;43345,78643;11,46616745;100;101,9896393;62,78593063;4
France;FRA;2016;YR2016;82,57317073;43705,14756;11,50134468;100;102,2604294;64,72767639;4
France;FRA;2017;YR2017;82,57560976;44577,06457;11,39050198;100;102,4172211;65,80223083;4
France;FRA;2018;YR2018;82,72439024;45284,00279;11,25789452;100;102,4644089;67,54351807;4
France;FRA;2019;YR2019;82,57804878;46017,76596;9,5;100;102,5394821;68,35790253;4
Allemagne;DEU;2001;YR2001;78,32926829;43479,27079;9,92046165;100;104,3607635;50,6945;5
Allemagne;DEU;2002;YR2002;78,22926829;43320,29826;10,18361187;100;102,5475006;51;5
Allemagne;DEU;2003;YR2003;78,3804878;42993,19658;10,40197659;100;102,098381;52;5
Allemagne;DEU;2004;YR2004;78,6804878;43507,84894;10,14598751;100;102,8830032;53;5
Allemagne;DEU;2005;YR2005;78,93170732;43851,0898;10,31149673;100;103,1063766;54;5
Allemagne;DEU;2006;YR2006;79,13170732;45576,0208;10,17961693;100;104,2132568;55;5
Allemagne;DEU;2007;YR2007;79,53414634;46995,37015;10,05104923;100;104,7863388;56;5
Allemagne;DEU;2008;YR2008;79,73658537;47536,7708;10,2510128;100;104,0239792;57;5
Allemagne;DEU;2009;YR2009;79,83658537;44943,84095;11,23758507;100;103,3964233;58;5
Allemagne;DEU;2010;YR2010;79,98780488;46894,22692;11,0968647;100;102,9958801;59;5
Allemagne;DEU;2011;YR2011;80,43658537;49646,74722;10,77629662;100;102,4665604;60;5
Allemagne;DEU;2012;YR2012;80,53902439;49761,01466;10,84700775;100;101,6141968;61;5
Allemagne;DEU;2013;YR2013;80,4902439;49842,55832;10,99187183;100;100,8382492;61,38684082;5
Allemagne;DEU;2014;YR2014;81,0902439;50731,91996;11,01583958;100;100,5386429;65,50390625;5
Allemagne;DEU;2015;YR2015;80,64146341;51044,98936;11,17801952;100;101,66745;67,74687195;5
Allemagne;DEU;2016;YR2016;80,9902439;51763,75491;11,23043633;100;102,6775589;69,58058929;5
Allemagne;DEU;2017;YR2017;80,99268293;52952,87502;11,32229614;100;104,0223618;70,2466507;5
Allemagne;DEU;2018;YR2018;80,89268293;53367,3319;11,42995071;100;103,8945618;70,34264374;5
Allemagne;DEU;2019;YR2019;80,94146341;53809,14125;11,564;100;102,5161819;73,52105713;5
Islande;ISL;2001;YR2001;80,6902439;42213,02084;8,81703854;100;102,887291;48,32954025;6
Islande;ISL;2002;YR2002;80,50243902;42071,99663;9,48969269;100;99,5475769;54,57971954;6
Islande;ISL;2003;YR2003;80,96341463;42676,9062;9,97767162;100;98,28539276;62,39247894;6
Islande;ISL;2004;YR2004;80,99756098;45604,58706;9,46441174;100;96,66490173;68,21237946;6
Islande;ISL;2005;YR2005;81,50243902;47637,5615;9,14713573;100;96,86299896;69,88067627;6
Islande;ISL;2006;YR2006;81,15853659;49471,77373;8,82959843;100;97,30982971;72,12460327;6
Islande;ISL;2007;YR2007;81,45365854;52314,06629;8,63206863;100;98,13413239;71,11840057;6
Islande;ISL;2008;YR2008;81,6097561;52484,81945;8,58694077;100;99,24107361;73,74511719;6
Islande;ISL;2009;YR2009;81,75121951;48297,39035;8,86763096;100;99,88291931;74,4150238;6
